Codice seriale;Data di pubblicazione italiana;Titolo;Classificazione
NTR-ASMP-EUR;11/03/2005;Super Mario 64 DS;
NTR-AMGI-ITA;30/06/2005;Madagascar;
NTR-AD3P-EUR;07/10/2005;Nintendogs Labrador & Amici;
NTR-AMCP-EUR;25/11/2005;Mario Kart DS;
NTR-ARMP-EUR;27/01/2006;Mario & Luigi: Fratelli nel tempo;
NTR-ATRP-EUR;21/04/2006;Tetris DS;
NTR-ANDP-EUR;09/06/2006;Brain Training del Dr. Kawashima: Quanti anni ha il tuo cervello?;
NTR-A2DP-EUR;30/06/2006;New Super Mario Bros.;
NTR-UBRP-EUR;06/10/2006;Nintendo DS Browser solo per Nintendo DS Lite;
NTR-AB3P-EUR;16/02/2007;Mario Slam Basketball;
NTR-A8QP-EUR;23/03/2007;Theme Park;
NTR-ADZP-EUR;01/06/2007;Meteos: Disney Magic;
NTR-AC3P-EUR;22/06/2007;SimCity DS;
NTR-ANMP-EUR;29/06/2007;More Brain Training del Dr. Kawashima: Quanti anni ha il tuo cervello?;
NTR-AXVI-ITA;25/10/2007;Disney Friends;
NTR-A8TP-EUR;23/11/2007;Mario Party DS;
NTR-YCQP-EUR;15/02/2008;Cooking Mama 2: Ai fornelli con gli amici;
NTR-CNVI-ITA;20/06/2008;La guida in cucina: Che si mangia oggi?;
NTR-YWRP-EUR;27/06/2008;Wacky Races: La corsa più pazza del mondo;
NTR-CW5P-EUR;??/??/2008;Chi vuol essere milionario? 2ª Edizione;
NTR-CG3P-EUR;06/05/2009;Gardening Mama;
NTR-CLJP-EUR;09/10/2009;Mario & Luigi: Viaggio al Centro di Bowser;
NTR-B3CP-EUR;13/11/2009;Cooking Mama 3;
TWL-IRAI-ITA;04/03/2011;Pokémon Versione Bianca;
;;;
"Caveau dell'apocalisse NDS			";;;
"Edoardo Porcaro			";;;
"Ultimo aggiornamento del file: 12/07/2023			";;;
